artikel_id;maschinensucher_id;restlaufzeit_tage;titel
4969;A17568653;295;PC Monitor mit Edelstahltastatur
6592;A17555673;336;Steuerung Bedienrechner Bedienterminal
8051;A22688417;345;Celerra AntiVirus Agent CAVA Software
8761;A21366512;160;Adsorptionstrockner Luftentfeuchter
9213;A17565383;295;Verdichter Kompressor Kolbenverdichter
11364;A17555463;56;Steuerung
11457;A20248745;237;Frequenzumrichter
11476;A17555723;162;Frequenzumrichter Inverter
12823;A17569148;162;Gastrotheke Verkaufstheke Essensausgabe
12878;A17565433;162;KAPILLARZONENELEKTROPHORESE
13263;A19859085;336;Verschiedene Fanuc Steuerungen
15003;A17569338;295;AC Servomotor a22/3000 4.4 KW
15697;A17569393;162;M1M Analyzer
15699;A17569428;308;Höhenmikrometer Messsystem
16012;A7900373;308;Bodenluft Probenahmesystem Bodenanalyse
16053;A4088995;233;Steuerung
17746;A17682973;295;Dampftisch 4 Whirlpoolhauben
17762;A17682953;111;Naehmaschine, Foot Lifter
17782;A17628868;104;Kuehltheke mit Arbeitsflaeche
18322;A17683298;162;Begasung Begasungsanlage Desinfektion
18323;A3710603;162;Begasung / Begasungsanlage Desinfektion
18324;A3710611;308;Begasung Begasungsanlage Desinfektion
18377;A3894412;55;Zusatzperipherie Simatic
18615;A4718988;162;Vakuumpumpe
18687;A7900904;162;Doppelpumpe + Frequenzumrichter
18695;A7897043;162;Vakuumpumpe
18715;A7897187;162;Elektromotor
18732;A17565403;296;Dampfbefeuchter mit Heizelementen
18800;A3791465;142;In-Ovo-Impfung Druckinjektionssystem
18866;A4109589;162;Vakuumpumpe
19336;A3894372;56;Frequenzumrichter
19337;A3894381;0;Frequenzumrichter
19731;A20248545;237;Pegelwandler Levelshifter
19751;A7896851;162;Unterwasserpumpe
20169;A4032742;295;Waschbox Teilereiniger
20174;A4010093;296;Prismenauflage Spannblock Prisma
20176;A4010152;162;Kältemaschine
20181;A4010756;69;Klima Kühlsystem Präzisionsklimagerät
20207;A4015097;103;Servo Drives 13,2kVA Herst. überholt
20208;A4015090;103;Servo Drives 53,4kVA Herst. überholt
20209;A4015081;103;Servo Drives 46kW überholt
20370;A4023829;145;Simatic 6AV7872-0BC12-1AC0 Touch Panel
20420;A4029118;145;Turbinenradgaszähler Mengengaszähler
20474;A4034207;162;Schaltanlage & -komponente
