artikel_id;maschinensucher_id;restlaufzeit_tage;titel
24040;A6819970;142;Strom-UV-Tauch Imprägnieranlage
39466;A20760117;142;Scheuersaugmaschine
59637;A21181087;271;6-Spindel Drehautomat
46987;A17925751;142;Koordinatenmessmaschine
28732;A14282326;145;Gärunterbrecher
47056;A18081571;145;Lagerbühne 561m²
47054;A18081376;145;Lagerbühne 684m²
22811;A4654365;162;Kühlaggregat Kühlgerät
47007;A17926341;145;Korpuspresse
58369;A20920422;145;Güteraufzug MEK-1 Lastenaufzug Nr.2
24012;A7406120;162;Krananlage
