rubrik_id (englischer Name);rubrikname (deutscher Name);pfad
436;Abfüllsäulen;Abfüllanlagen & Abfülltechnik / Abfüllsäulen
703;Absackanlagen;Abfüllanlagen & Abfülltechnik / Absackanlagen
437;Behälterfüllsysteme;Abfüllanlagen & Abfülltechnik / Behälterfüllsysteme
438;Fassfüllsysteme;Abfüllanlagen & Abfülltechnik / Fassfüllsysteme
439;Fördersysteme;Abfüllanlagen & Abfülltechnik / Fördersysteme
440;Lagersysteme;Abfüllanlagen & Abfülltechnik / Lagersysteme
441;Mineralwasserabfüllanlagen;Abfüllanlagen & Abfülltechnik / Mineralwasserabfüllanlagen
442;Palettenfüllsysteme;Abfüllanlagen & Abfülltechnik / Palettenfüllsysteme
443;Palettiersysteme;Abfüllanlagen & Abfülltechnik / Palettiersysteme
679;Sonstige Abfüllanlagen & Abfülltechnik;Abfüllanlagen & Abfülltechnik / Sonstige Abfüllanlagen & Abfülltechnik
444;Tubenfüller;Abfüllanlagen & Abfülltechnik / Tubenfüller
95;Bestückungstechnik;Automatisierungstechnik / Bestückungstechnik
96;Handhabungs-Manipulatoren;Automatisierungstechnik / Handhabungs-Manipulatoren
97;Montagemaschinen;Automatisierungstechnik / Montagemaschinen
98;Positioniermaschinen;Automatisierungstechnik / Positioniermaschinen
99;Roboter;Automatisierungstechnik / Roboter
100;Schaltanlagen;Automatisierungstechnik / Schaltanlagen
661;Sonstige Automatisierungsmaschinen;Automatisierungstechnik / Sonstige Automatisierungsmaschinen
101;Sortiermaschinen;Automatisierungstechnik / Sortiermaschinen
102;Steuerungen;Automatisierungstechnik / Steuerungen
2201;Kompaktor Deponie;Baumaschinen / Abbruch, Recycling & Deponie / Kompaktor Deponie
2422;Zubehör & Ersatzteile für Abbruch-, Recycling- & Deponiegeräte;Baumaschinen / Abbruch, Recycling & Deponie / Zubehör & Ersatzteile für Abbruch-, Recycling- & Deponiegeräte
1651;Abbruchgreifer;Baumaschinen / Anbaugeräte für Baumaschinen / Abbruchgreifer
1652;Abbruchhämmer;Baumaschinen / Anbaugeräte für Baumaschinen / Abbruchhämmer
1653;Abbruchscheren;Baumaschinen / Anbaugeräte für Baumaschinen / Abbruchscheren
1654;Anbaukrane;Baumaschinen / Anbaugeräte für Baumaschinen / Anbaukrane
