Maschine	KW Fertigung	Nr.	KW Lief.	Auftrag	ANr	AK	Name		Artikelnummer		Masche/Bemerkung	Menge	Stck Pal.	P-Länge	P-Breite	P-Höhe	P-Anzahl
Paletten	2619	1	0	110135	0		VDL Jansen bv		PSCJ003637-0450 /001			2	350	1220	950	1100	1
Paletten	2619	2	2620	110287	0		BITO Lagertechnik		PSC2403x1508    /001			2	100	2450	1550		1
Paletten	2619	3	2620	109931	0		Hellmann Poultry Gmb		PSC45-36-0416   /004			1	100	2420	1050	790	1
Paletten	2619	4	2623	110021	0		Hellmann Poultry Gmb		PSC45-36-0416   /004			5	100	2420	1050	790	1
Paletten	2619	5	2622	109767	0	06/06	GI-RO Technik GmbH &		EWM822x880      /001			48	38	910	850	1300	2
Paletten	2619	6	2622	110017	0		Hellmann Poultry Gmb		PSC45-36-1049   /001			1	100	2415	760	780	1
Paletten	2619	7	2621	110150	0		R. Inauen AG		PSV1995x442     /001			1	100	2050	950		1
Paletten	2619	8	2621	110203	0		Bressers Metaal BV		PSV1160x840     /001			2	125	1200	800	950	1
Paletten	2619	9	2623	110070	0		Big Dutchman		PSF83-50-4400   /001			9	112	1620	1225	1340	1
Paletten	2619	10	0	109971	0		VDL Jansen bv		PSCJ2.5X50X50ZNA/001			8	125	3050	1550	500	1
Paletten	2619	11	2634	110260	0		Hellmann Poultry Gmb		PSC45-36-0868   /001			2	500	1180	800	930	1
Paletten	2619	12	2633	110224	0		Hellmann Poultry Gmb		PSC45-36-0868   /001			2	500	1180	800	930	1
Paletten	2619	13	2610	109576	0	03/05	Big Dutchman		PSF83-07-2880   /002			10	112	1430	1200	1200	1
Paletten	2619	14	2621	110055	0		Urban GmbH & Co.		PSB1631x441     /006			1	50	1680	500		1
Paletten	2619	15	2621	110055	0		Urban GmbH & Co.		PSB1631x441     /004			2	50	1680	500		1
Paletten	2619	16	2621	110055	0		Urban GmbH & Co.		PSB1316x1006    /001			1	50	1400	1100	450	1
Paletten	2619	17	2625	110084	0		Hellmann Poultry Gmb		PSC45-36-0895   /002			1	1000	1100	870	1140	1
Paletten	2619	18	2625	109830	2		Knebusch Rollen GmbH		PSC411x111      /001			3	2100	1200	800	1060	1
Paletten	2619	19	2625	110115	0		Victorsson Poultry A		PSC275008       /002			3	267	1520	1200	675	1
Paletten	2619	20	2622	109969	0		VDL Jansen bv		PSVJ015226-086  /002			10	150	1250	1290	985	1
Paletten	2619	21	2540	109241	0		GI-RO Technik GmbH &		VARIO-995x890   /001			33	30	1100	910	975	2
Paletten	2619	22	2610	109576	0	04/05	Big Dutchman		PSF83-07-2880   /002			10	112	1430	1200	1200	1
Paletten	2619	23	2610	109576	0	01/05	Big Dutchman		PSF83-07-2880   /002			10	112	1430	1200	1200	1
Paletten	2619	24	2610	109576	0	05/05	Big Dutchman		PSF83-07-2880   /002			10	112	1430	1200	1200	1
Paletten	2619	25	2610	109576	0	02/05	Big Dutchman		PSF83-07-2880   /002			10	112	1430	1200	1200	1
Paletten	2619	26	2622	109720	0		Hellmann Poultry Gmb		PSC45-36-0745   /002			1	500	1430	1030	1160	1
Paletten	2619	27	2621	109940	0		Hellmann Poultry Gmb		PSC45-36-0973   /001			1	360	1000	950	1450	1
Paletten	2619	28	2619	109754	4		Hellmann Poultry Gmb		PSC45-36-0597   /003			1	360	1200	1200	1460	1
Paletten	2619	29	2621	109671	0		Hellmann Poultry Gmb		PSC45-36-0777   /002			1	1000	2450	950	1140	1
Paletten	2619	30	2626	109694	0		Big Dutchman		PSB83-09-4833   /001			1	360	1210	1360		1
Paletten	2619	31	2631	109817	0	01/05	Draht Müller GmbH & 		DGB-10KN        /001			27	38	1140	900	1270	1
Paletten	2619	32	0	109895	1		Bressers Metaal BV		PSV740x740      /008			36	250	750	750	1650	1
Paletten	2619	33	0	109895	2		Bressers Metaal BV		PSV740x740      /008			36	250	750	750	1650	1
Paletten	2619	34	2621	109941	0		Hellmann Poultry Gmb		PSC45-36-0073   /006			7	360	1200	1100	1470	1
Paletten	2619	35	2619	109663	1		BITO Lagertechnik		PSV3600x1503    /003			1	55	3630	1060	1670	1
Paletten	2619	37	2622	110194	0		Hellmann Poultry Gmb		PSC45-36-1049   /001			1	100	2415	760	780	1
Paletten	2619	39	0	109895	3		Bressers Metaal BV		PSV740x740      /008			36	250	750	750	1650	1
Paletten	2619	40	2621	109619	0		Big Dutchman		PSC83-01-2361   /002			8	360	1200	830	1460	1
Paletten	2619	41	2621	109708	0		Hellmann Poultry Gmb		PSC45-36-0043   /004			4	360	1200	1050	1490	1
Paletten	2619	42	2621	109708	0		Hellmann Poultry Gmb		PSC45-36-0639   /002			2	360	1200	980	1460	1
Paletten	2619	43	2621	109708	0		Hellmann Poultry Gmb		PSC45-36-0641   /002			2	360	1200	980	1460	1
Paletten	2619	45	2623	109862	0		Hellmann Poultry Gmb		PSC45-36-0928   /002			4	250	1180	1150	900	1
Paletten	2619	46	2620	109902	0		Hellmann Poultry Gmb		PSC45-36-0777   /002			1	1000	2450	950	1140	1
Paletten	2619	47	2624	109612	17		Hellmann Poultry Gmb		PSC45-36-0031   /008			2	360	1200	1200	1460	1
Paletten	2619	48	2620	109973	0		ALPMA Alpenland		PSE2789.036.102 /001			1	100	650	3000	535	1
Paletten	2619	51	2621	109980	0		Hellmann Poultry Gmb		PSC45-36-0908   /002			1	1500	1470	710		1
Paletten	2619	52	2621	109447	2		Hellmann Poultry Gmb		PSC45-36-1292   /002			9	66	910	2800	880	1
Paletten	2619	53	2619	110042	0		VDL Jansen bv		PSVJ003301-202  /002			1	136	1170	1030	1200	1
Paletten	2619	56	2624	110127	0		Intech Installatiebu		PSB2470x1906    /002			4	40	2530	1960	350	1
Paletten	2619	57	2624	110127	0		Intech Installatiebu		PSF2470x1906    /001			2	50	2530	1960	700	1
Paletten	2619	58	2625	110098	0		Hellmann Poultry Gmb		PSC45-36-0777   /002			1	1000	2450	950	1140	1
Paletten	2619	59	2618	110015	0		VDL Jansen bv		PSEJ000636-003  /001			1	100	2050	1530	500	1
Paletten	2619	60	2625	110095	0		Hellmann Poultry Gmb		PSC45-36-0777   /002			1	1000	2450	950	1140	1
Paletten	2619	61	2623	110201	0		Big Dutchman		PSC83-55-4496   /001			2	100	2750	1300	540	1
Paletten	2619	62	2621	109941	0		Hellmann Poultry Gmb		PSC45-36-0590   /002			4	360	1200	1100	1470	1
Paletten	2619	63	2621	109941	0		Hellmann Poultry Gmb		PSC45-36-0589   /002			4	360	1200	1100	1470	1
Paletten	2619	64	2620	109931	0		Hellmann Poultry Gmb		PSC45-36-0777   /002			1	1000	2450	950	1140	1
Paletten	2619	65	2620	109887	0		Hellmann Poultry Gmb		PSC45-36-0777   /002			1	1000	2450	950	1140	1
Paletten	2619	66	2623	109930	0		Hellmann Poultry Gmb		PSC45-36-0777   /002			1	1000	2450	950	1140	1
Paletten	2619	67	2623	109930	0		Hellmann Poultry Gmb		PSC45-36-0928   /002			1	250	1180	1150	900	1
Paletten	2619	68	2624	109929	0		Hellmann Poultry Gmb		PSC45-36-0928   /002			3	250	1180	1150	900	1
